planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,Radial_Velocity_Amplitude,planet_temperature,star_temperature,star_radius,star_mass,Predicted Temperature
G 9-40 b,1,5.7459982,0.0418,1.9,89.03,0.0,6.27,3.22,441.0,3395.0,0.3,0.3,436.42352
G 9-40 b,1,5.746007,0.0385,2.025,88.57,0.0,7.2,,456.0,3348.0,0.31,0.29,449.5228
GJ 1132 b,1,1.628931,0.0153,1.13,,0.22,,2.85,529.0,3270.0,0.21,0.18,583.10767
GJ 1132 b,1,1.62892911,0.0157,1.192,88.16,0.0118,19.3,2.98,584.0,3229.0,0.22,0.19,575.1673
GJ 1214 b,1,1.58040453,0.01505,2.733,88.98,0.0062,17.2,14.38,567.0,3101.0,0.22,0.18,559.6243
GJ 1214 b,1,1.58040433,0.0149,2.742,88.7,0.063,21.0,14.36,596.0,3250.0,0.21,0.18,586.7203
GJ 1214 b,1,1.58040456,0.01411,2.847,88.17,,,12.2,,3026.0,0.22,0.15,563.806
GJ 1252 b,1,0.5182416,0.00915,1.18,84.8,,233.0,,,3458.0,0.39,0.38,1048.5918
GJ 1252 b,1,0.5182349,0.00916,1.193,85.0,0.0,,3.17,1089.0,3458.0,0.39,0.38,1048.1207
GJ 143 b,1,35.61253,0.1915,2.61,89.33,0.188,,5.51,422.0,4640.0,0.69,0.73,397.09204
GJ 238 b,1,1.7446999,0.02123,566.0,89.99,,,,758.0,3485.0,0.43,0.42,717.89197
GJ 3090 b,1,2.8531054,0.03165,2.13,87.14,0.32,,2.38,693.0,3556.0,0.52,0.52,679.52966
GJ 3470 b,1,3.3366496,0.0355,4.57,89.13,,,13.4,594.0,3600.0,0.55,0.54,659.9391
GJ 3470 b,1,3.33714,0.0348,4.2,88.8,0.051,,9.01,615.0,3600.0,0.5,0.54,648.32776
GJ 3470 b,1,3.33665,0.03557,4.83,88.3,,,8.9,,3600.0,0.57,0.54,664.79517
GJ 3470 b,1,3.3366487,0.031,3.88,88.88,0.017,,,604.0,3652.0,0.48,0.51,667.6408
GJ 3473 b,2,1.1980035,0.01589,1.264,87.95,0.0,59.4,2.21,773.0,3347.0,0.36,0.36,723.3864
GJ 357 b,1,3.9306,0.036,1.2,89.228,,,,518.0,3505.0,0.34,0.34,506.43323
GJ 357 b,1,3.93072,0.035,1.217,89.12,,12.6,1.52,525.0,3505.0,0.34,0.34,513.68164
GJ 367 b,1,0.3219225,0.00709,699.0,79.89,0.06,579.0,1.003,1365.0,3522.0,0.46,0.46,1289.0234
GJ 367 b,1,0.321962,0.0071,718.0,80.75,0.0,,798.0,1745.0,3522.0,0.46,0.45,1286.1932
GJ 3929 b,1,2.6162745,0.02569,1.15,89.65,,17.5,1.23,569.0,3369.0,0.32,0.31,566.68915
GJ 3929 b,1,2.616235,0.0252,1.09,88.442,0.0,17.3,1.77,568.0,3384.0,0.32,0.31,572.9291
GJ 414 A b,2,50.8,0.2324,2.63,,0.45,,2.05,309.0,4120.0,0.68,0.65,338.69028
GJ 414 A c,2,749.83,1.4,8.4,,0.105,,5.14,125.0,4120.0,0.68,0.65,194.17258
GJ 436 b,1,2.64389524,0.02887,4.091,86.43,,,18.34,669.0,3500.0,0.45,0.46,648.65674
GJ 436 b,1,2.64385,0.02872,4.222,86.36,,,,649.0,3350.0,0.46,0.45,641.4062
GJ 436 b,1,2.64389803,0.0308,4.1,86.858,0.1616,,17.59,,3416.0,0.46,0.56,692.71765
GJ 436 b,1,2.6438979,0.0287,3.96,86.699,,,,,3585.0,0.44,0.45,649.247
GJ 486 b,1,1.46712127,0.01714,1.289,89.39,0.00086,39.2,3.389,696.0,3317.0,0.32,0.31,678.808
GJ 486 b,1,1.4671205,0.01713,1.343,88.9,0.0,41.3,3.495,706.0,3291.0,0.34,0.33,698.0675
GJ 486 b,1,1.467119,0.01734,1.305,88.4,0.05,40.3,3.37,701.0,3340.0,0.33,0.32,688.7768
GJ 806 b,1,0.9263237,0.01406,1.331,87.7,,130.0,2.25,940.0,3600.0,0.41,0.41,904.8974
GJ 9827 b,1,1.2089819,0.0188,1.577,86.07,0.0,,4.11,,4340.0,0.6,0.61,1113.0764
GJ 9827 b,1,1.208974,0.0189,1.44,87.6,,,3.53,1035.0,4236.0,0.58,0.62,1078.0876
GJ 9827 b,1,1.2089819,0.0188,1.577,86.07,0.063,318.0,4.31,1175.0,4305.0,0.6,0.61,1105.9559
GJ 9827 b,1,1.208966,0.0206,1.58,88.33,,256.0,3.0,1114.0,4219.0,0.62,0.64,1065.8746
GJ 9827 b,1,1.2089802,0.01888,1.62,85.73,,315.0,2.84,1172.0,4269.0,0.61,0.61,1103.7437
GJ 9827 b,1,1.208957,0.02,1.75,85.08,,,,1044.0,4255.0,0.65,0.66,1126.1414
GJ 9827 c,1,3.648083,0.03942,1.269,88.05,,72.0,1.39,811.0,4269.0,0.61,0.61,747.7333
GJ 9827 c,1,3.64802,0.042,1.36,87.81,,,,722.0,4255.0,0.65,0.66,755.07996
GJ 9827 c,1,3.6480957,0.03925,1.241,88.19,0.0,,490.0,,4340.0,0.6,0.61,756.20154
GJ 9827 c,1,3.648103,0.0395,1.13,89.09,,,1.06,716.0,4236.0,0.58,0.62,732.463
GJ 9827 c,1,3.648096,0.03925,1.241,88.19,0.094,73.0,750.0,813.0,4305.0,0.6,0.61,750.53687
GJ 9827 c,1,3.64823,0.0429,1.24,89.07,,59.0,820.0,771.0,4219.0,0.62,0.64,725.20374
GJ 9827 d,1,6.2014698,0.05591,2.022,87.443,0.0,,1.97,,4340.0,0.6,0.61,636.371
GJ 9827 d,1,6.201467,0.05615,2.07,87.39,,35.6,2.5,680.0,4269.0,0.61,0.61,628.71936
GJ 9827 d,1,6.20183,0.053,1.98,87.41,,34.9,,675.0,4236.0,0.58,0.62,631.25446
GJ 9827 d,1,6.201812,0.0563,1.89,87.66,,,1.44,600.0,4236.0,0.58,0.62,615.8027
GJ 9827 d,1,6.20147,0.0559,2.022,87.443,0.13,36.0,1.73,681.0,4305.0,0.6,0.61,631.59863
GJ 9827 d,1,6.20142,0.0611,2.04,87.7,,29.0,1.11,646.0,4219.0,0.62,0.64,609.7303
GJ 9827 d,1,6.20141,0.06,2.1,87.39,,,,605.0,4255.0,0.65,0.66,632.52423
GPX-1 b,1,1.744579,0.0338,16.477,79.9,0.0,4650.0,2310.0,2300.0,7000.0,1.56,1.68,2352.5098
Gaia-1 b,1,3.052524,0.04047,13.776,85.73,,,243.0,,5470.0,0.95,0.95,1216.8473
Gaia-2 b,1,3.6915224,0.0467,14.818,85.21,,,107.1,,5720.0,1.06,1.0,1245.3717
Gliese 12 b,1,12.761408,0.0668,958.0,89.194,0.5,1.62,2.78,315.0,3296.0,0.26,0.24,312.61703
Gliese 12 b,1,12.76142,0.067,900.0,89.2,,1.6,,315.0,3253.0,0.27,0.24,305.00638
HAT-P-1 b,2,4.4652934,0.05535,13.641,86.25,,,59.3,1291.0,5975.0,1.11,1.13,1283.0332
HAT-P-1 b,2,4.46529976,0.05561,14.785,85.634,,,58.9,1322.0,5980.0,1.17,1.15,1315.1765
HAT-P-1 b,2,4.46529976,0.0553,13.922,86.11,0.011,,59.5,,5980.0,1.14,1.13,1296.8708
HAT-P-1 b,2,4.46543,0.0553,13.922,86.11,,,60.3,1306.0,5975.0,1.14,1.13,1296.304
HAT-P-1 b,2,4.46529,0.0551,15.244,85.9,0.0,,60.3,,5975.0,1.15,1.12,1296.6816
HAT-P-11 b,1,4.88780026,0.052,4.68,89.95,0.0,,,794.0,4766.0,0.74,0.79,817.69763
HAT-P-11 b,1,4.88780271,0.053,4.84,89.95,0.0,97.1,,801.0,4777.0,0.77,0.83,835.93915
