,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
1171,HD 95544 b,,6.63332,Mass,2041.541518,0.04915,86.497,156,1.01,0.11,,1,1
1172,HD 95735 c,,0.04279,Msini,2946,0.132,,63.64161197,0.39,-0.362,8.047,1,2
1173,HD 95872 b,,3.74,Msini,4375,0.06,,108.8852446,0.7,0.41,10,1,1
1174,HD 96063 b,,1.27,Msini,362.5,0.17,,501.5170007,1.37,-0.3,9,1,1
1175,HD 96127 b,,20.96,Msini,647.29999,0.3,,710.2027705,10.94,-0.24,,1,1
1176,HD 96167 b,,0.717,Msini,498.04,0.685,,,1.27,0.34,4.325,2,1
1177,HD 96700 b,,0.028,Msini,8.1245,,,,0.89,-0.18,8.6,1,3
1178,HD 96700 c,,0.01101,Msini,19.88,,,,0.89,-0.18,8.6,1,3
1179,HD 96700 d,,0.03996,Msini,103.5,0.27,,,0.89,-0.18,8.6,1,3
1180,HD 96992 b,,1.14,Msini,514,0.41,,557.9693225,0.96,-0.45,,1,1
1181,HD 97037 b,,20.99889,Mass,6449.083373,0.356842,14.561,,1.06,,,1,1
1182,HD 97048 b,,2.5,Mass,,,,,2.4,,0.003,1,1
1183,HD 97658 b,0.189,0.02611,Mass,9.4897116,0.05,89.05,751,0.85,-0.23,3.9,1,1
1184,HD 98219 b,,1.964,Msini,433.8,0.079,,442.5952947,1.41,-0.02,4,1,1
1185,HD 98649 b,,8.38591,Mass,5697.304303,0.84064,78.838,111.3494124,1.02,0.003333333,3.053333333,1,1
1186,HD 98736 b,,2.33,Msini,968.8,0.226,,,0.92,0.36,7.39,2,1
1187,HD 99109 b,,0.44,Msini,439.29999,0.09,,249.3146969,0.76,0.35,,1,1
1188,HD 99283 b,,0.97,Msini,310.4,0.2,,757.8977202,1.76,-0.16,,1,1
1189,HD 99492 b,,0.07,Msini,17.0431,0.25,,,0.48,0.24,4.26,2,1
1190,HD 99706 b,,1.23,Msini,841,0.25,,401.9500095,1.46,0.08,2.1,1,2
1191,HD 99706 c,,5.69,Msini,1278,0.411,,,1.72,,,1,2
1192,HIP 105854 b,,8.2,Msini,184.2,0.02,,,2.1,0.31,,1,1
1193,HIP 107772 b,,0.04059,Msini,55.199,0.18,,,0.63,,,1,1
1194,HIP 107773 b,,1.98,Msini,144.3,0.09,,955.1779752,2.42,0.03,,1,1
1195,HIP 109384 b,,1.56,Msini,499.48,0.549,,,0.78,-0.26,,1,1
1196,HIP 109600 b,,2.68,Msini,232.08,0.163,,,0.87,-0.12,,2,1
1197,HIP 114933 b,,1.94,Msini,1481.6,0.21,,316.8765689,1.39,0.06,3.4,1,1
1198,HIP 116454 b,0.22,0.04,Mass,9.1205,0.2,88.43,690,0.81,-0.16,2,2,1
1199,HIP 12961 b,,0.36,Msini,57.435,0.17,,303.3070131,0.69,-0.14,,1,1
1200,HIP 14810 b,,3.9,Msini,6.673892,0.14399,,1025.565331,1.01,0.24,5.84,1,3
1201,HIP 14810 c,,1.31,Msini,147.747,0.1566,,365.5280052,1.01,0.24,5.84,1,3
1202,HIP 14810 d,,0.59,Msini,981.8,0.185,,194.2355673,1.01,0.24,5.84,1,3
