,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
2552,Kepler-1503 b,0.203,,,96.16987,,,386.9038255,0.77,-0.19,5.13,1,1
2553,Kepler-1504 b,0.19,,,82.304003,,,535.1159321,0.85,-0.17,4.47,1,1
2554,Kepler-1505 b,0.083,,,30.8609366,,,668.4246513,0.93,-0.18,1.7,1,1
2555,Kepler-1506 b,0.118,,,14.0329154,,,951.7633829,0.95,-0.05,3.98,1,1
2556,Kepler-1507 b,0.075,,,16.0506213,,,692.3461205,0.89,-0.03,4.57,1,1
2557,Kepler-1508 b,0.119,,,20.7056504,,,852.2078248,1.14,0.01,2.69,1,1
2558,Kepler-1509 b,0.165,,,25.4338197,,,779.59446,1,0.03,3.98,1,1
2559,Kepler-151 b,0.273,,,15.228958,,,694.0988332,0.883333333,-0.00725,4.64,1,2
2560,Kepler-151 c,0.186,,,24.674612,,,590.9643279,0.883333333,-0.00725,4.64,1,2
2561,Kepler-1510 b,0.3,,,84.703921,,,539.2780999,1.19,0.04,2.75,1,1
2562,Kepler-1511 b,0.15,,,23.2382792,,,1029.388265,1.17,0.14,3.31,1,1
2563,Kepler-1512 b,0.105,,,20.35972599,,89.45,322,0.73,0.2,1.78,1,1
2564,Kepler-1513 b,0.755,,,160.8846509,,,348.62989,0.99,0.14,3.98,1,1
2565,Kepler-1514 b,1.108,5.28,Mass,217.83184,0.401,89.944,388,1.2,0.119,2.9,1,2
2566,Kepler-1514 c,0.105,,,10.514181,0.32,87.98,1066,1.2,0.119,2.9,1,2
2567,Kepler-1515 b,0.852,,,214.3114164,,,430.0840211,1.3,0.07,1.82,1,1
2568,Kepler-1516 b,0.156,,,7.25931979,,,1184.949811,1.04,0.03,4.07,1,1
2569,Kepler-1517 b,0.871,,,5.54608367,,,2145.705788,1.58,0.01,1.38,1,1
2570,Kepler-1518 b,0.272,,,5.11177904,,,1501.79057,1.54,0.06,1.48,1,1
2571,Kepler-1519 b,0.63,,,240.7989397,,,357.482507,0.94,-0.07,3.98,1,1
2572,Kepler-152 b,0.249,,,18.207973,,,603.3595515,0.84,-0.14,1.4,1,2
2573,Kepler-152 c,0.213,,,88.255055,,,356.5196974,0.84,-0.14,1.4,1,2
2574,Kepler-1520 b,0.515,,,0.65355357,,,1577.265927,0.76,0.04,4.47,1,1
2575,Kepler-1521 b,0.223,,,47.14840805,,,527.2606813,0.81,-0.05,4.47,1,1
2576,Kepler-1522 b,0.154,,,1.84788917,,,1610.544421,0.96,-0.07,3.89,1,1
2577,Kepler-1523 b,0.141,,,0.93875077,,,1939.146485,0.97,0,4.37,1,1
2578,Kepler-1524 b,0.316,,,70.9674603,,,482.7027706,1.17,0.04,2.88,1,1
2579,Kepler-1525 b,0.081,,,2.41660118,,,1446.702818,1.07,0.27,2.82,1,1
2580,Kepler-1526 b,0.217,,,3.908632,,,861.3612351,0.73,-0.01,4.68,1,1
2581,Kepler-1527 b,0.426,,,160.129918,,,436.1482563,1.21,0.07,2.82,1,1
2582,Kepler-1528 b,0.13,,,1.79111021,,,1657.622405,1.03,0.03,3.89,1,1
2583,Kepler-1529 b,0.187,,,5.33905686,,,874.5563919,0.81,-0.03,4.79,1,1
2584,Kepler-153 b,0.261,,,18.870227,,,641.893829,0.828888889,-0.216,9.295,1,2
2585,Kepler-153 c,0.226,,,46.90232,,,473.8680925,0.828888889,-0.216,9.295,1,2
2586,Kepler-1530 b,0.146,,,2.5904434,,,1428.790841,0.92,0.03,4.27,1,3
2587,Kepler-1530 c,0.147,,,5.3227406,,,1123.867018,0.92,0.03,4.27,1,3
2588,Kepler-1530 d,,,,9.20761013,,,988.0704373,1.01,0.2,,1,3
2589,Kepler-1531 b,0.099,,,1.13854338,,,2463.327521,1.16,-0.03,2.82,1,1
2590,Kepler-1532 b,0.12,,,1.09366356,,,1824.434507,0.91,-0.1,4.27,1,1
2591,Kepler-1533 b,0.309,,,308.5471,,,367.141331,1.31,0.03,2.19,1,1
2592,Kepler-1534 b,0.169,,,5.71668872,,,1025.643779,0.9,-0.01,4.57,1,1
2593,Kepler-1535 b,0.227,,,138.9442,,,401.3805518,1.08,0,3.47,1,1
2594,Kepler-1536 b,0.28,,,364.758031,,,180.1368441,0.71,0.05,2.95,1,1
2595,Kepler-1537 b,0.105,,,1.4444538,,,1740.046987,0.81,-0.08,5.01,1,1
2596,Kepler-1538 b,0.252,,,175.138819,,,364.349749,1.03,0.02,4.37,1,1
2597,Kepler-1539 b,0.241,,,133.3036741,,,320.3880348,0.84,-0.01,4.79,1,1
2598,Kepler-154 b,0.202,,,33.040532,,,614.1813617,0.96625,-0.272,4.47,1,5
2599,Kepler-154 c,0.263,,,62.303276,,,495.9327656,0.957142857,-0.272,4.47,1,5
2600,Kepler-154 d,0.343,,,20.54981883,,,718.8944591,0.98,-0.04,4.47,1,5
2601,Kepler-154 e,0.134,,,3.93276465,,,1239.794469,0.98,-0.04,4.47,1,5
2602,Kepler-154 f,0.134,,,9.91935684,,,910.7961284,0.98,-0.04,4.47,1,5
2603,Kepler-1540 b,0.222,,,125.4131177,,,,0.74,0.1,2.51,2,1
2604,Kepler-1541 b,0.103,,,8.40691199,,,982.0848134,0.86,-0.04,4.47,1,1
2605,Kepler-1542 b,0.068,,,3.95116882,,,1324.44042,0.94,0.06,8.51,1,4
2606,Kepler-1542 c,0.058,,,2.89223021,,,1469.591627,0.94,0.06,8.51,1,4
2607,Kepler-1542 d,0.078,,,5.99273738,,,1146.209112,0.94,0.06,8.51,1,4
2608,Kepler-1542 e,0.068,,,5.10115756,,,1209.435446,0.94,0.06,8.51,1,4
2609,Kepler-1543 b,0.242,,,6.96710269,,,1445.914015,1.39,0.07,1.91,1,1
2610,Kepler-1544 b,0.159,,,168.811174,,89.797,269,0.81,0.02,2.34,1,1
2611,Kepler-1545 b,0.241,,,163.692349,,,310.1739979,0.84,-0.06,4.47,1,1
2612,Kepler-1546 b,0.279,,,19.5974971,,,706.7410559,0.95,0.01,3.72,1,1
2613,Kepler-1547 b,0.08,,,0.69297968,,,2615.083823,1.12,0.04,3.39,1,1
2614,Kepler-1548 b,0.236,,,124.828679,,,356.6556302,0.99,0.05,4.37,1,1
2615,Kepler-1549 b,0.229,,,214.886545,,,294.3906638,0.88,0.02,4.79,1,1
2616,Kepler-155 b,0.186,,,5.931194,,89.88,614,0.612727273,-0.1916,6.583333333,1,2
2617,Kepler-155 c,0.2,,,52.661793,,89.495,286,0.628333333,-0.18,6.583333333,1,2
2618,Kepler-1550 b,0.269,,,225.582809,,,349.9811105,1.07,0.01,3.55,1,1
2619,Kepler-1551 b,0.237,,,24.4973698,,,784.0395648,1.14,0.01,2.88,1,1
2620,Kepler-1552 b,0.22,,,184.771853,,,295.5064745,0.85,-0.07,3.31,1,1
2621,Kepler-1553 b,0.103,,,4.24261881,,,1025.808654,0.85,-0.09,4.57,1,1
2622,Kepler-1554 b,0.259,,,198.088774,,,288.7048914,0.84,-0.1,4.68,1,1
2623,Kepler-1555 b,0.144,,,8.10501635,,,1138.389599,1.04,0.03,4.37,1,1
2624,Kepler-1556 b,0.175,,,8.82713457,,,902.8189043,0.97,0.08,4.9,1,1
2625,Kepler-1557 b,0.136,,,3.74032496,,,1387.296777,1.11,0.02,3.31,1,1
2626,Kepler-1558 b,0.061,,,3.50470358,,,1069.770851,0.83,0,4.9,1,1
2627,Kepler-1559 b,0.064,,,0.97191543,,,1748.181617,0.86,-0.04,4.27,1,1
2628,Kepler-156 b,0.205,,,4.973456,,,938.5686421,0.814444444,0.10275,9.535,1,2
2629,Kepler-156 c,0.227,,,15.906801,,,637.027016,0.814444444,0.10275,9.535,1,2
2630,Kepler-1560 b,0.079,,,3.03195744,,,1358.133361,1.02,0.04,4.17,1,1
2631,Kepler-1561 b,0.097,,,1.00520701,,,1892.750009,1.07,0.04,3.39,1,1
2632,Kepler-1562 b,0.317,,,64.2737752,,,635.8370423,1.02,0.11,4.79,1,1
2633,Kepler-1563 b,0.067,,,3.43276598,,,1239.747739,1,0.02,4.07,1,1
2634,Kepler-1564 b,0.131,,,18.0540381,,,699.5763796,0.93,0.03,4.57,1,1
2635,Kepler-1565 b,0.106,,,1.53818844,,,1337.530952,0.76,-0.16,5.62,1,1
2636,Kepler-1566 b,0.07,,,0.53991524,,,1938.788807,0.84,-0.07,5.01,1,1
2637,Kepler-1567 b,0.244,,,153.979578,,,356.0334706,0.95,-0.03,4.17,1,1
2638,Kepler-1568 b,0.116,,,20.925392,,,804.1390649,1.09,0.09,4.57,1,1
2639,Kepler-1569 b,0.15,,,5.79180156,,,1266.70345,1.25,0.06,2.45,1,1
2640,Kepler-157 b,0.118,,,1.732342,,,1689.793192,1.00875,-0.086857143,2.185,1,3
2641,Kepler-157 c,0.2,,,13.5405,,,854.0028792,1.01,-0.083375,2.185,1,3
2642,Kepler-157 d,0.13,,,7.02573474,,,1057.782994,1.02,-0.01,4.07,1,3
2643,Kepler-1570 b,0.095,,,26.548955,,,871.3931509,0.92,-0.04,4.17,1,1
2644,Kepler-1571 b,0.136,,,3.38555488,,,1510.062472,1.23,0.04,2.34,1,1
2645,Kepler-1572 b,0.084,,,5.49548621,,,1371.384004,0.97,0.08,4.79,1,1
2646,Kepler-1573 b,0.107,,,2.6157554,,,1535.601142,1.01,0.02,4.07,1,1
2647,Kepler-1574 b,0.115,,,6.9424334,,,1120.827334,1.06,0.08,3.8,1,1
2648,Kepler-1575 b,0.117,,,2.55314213,,,1443.962802,0.95,-0.07,4.17,1,1
2649,Kepler-1576 b,0.093,,,6.98471973,,,1089.572128,1.05,0.05,4.07,1,1
2650,Kepler-1577 b,0.101,,,6.30560247,,,1056.269553,0.78,0,4.27,1,1
2651,Kepler-1578 b,0.093,,,1.45088691,,,1772.350684,0.9,-0.13,4.27,1,1
2652,Kepler-1579 b,0.075,,,0.84990789,,,1223.229543,0.75,0.11,2.24,1,1
2653,Kepler-158 b,0.189,,,16.709184,,,538.2463916,0.693333333,-0.198,8.94,1,2
2654,Kepler-158 c,0.17,,,28.551383,,,450.2190054,0.693333333,-0.198,8.94,1,2
2655,Kepler-1580 b,0.188,,,56.6449279,,,738.7793829,1.47,0.12,2.75,1,1
2656,Kepler-1581 b,0.071,,,6.28385491,,,1249.246448,1.12,0.07,4.17,1,1
2657,Kepler-1582 b,0.133,,,4.83817712,,,356.3698227,0.28,0.48,7.76,1,1
2658,Kepler-1583 b,0.054,,,9.32807355,,,915.3339234,0.94,-0.07,4.27,1,1
2659,Kepler-1584 b,0.144,,,13.3997099,,,974.6291364,1.1,0,3.31,1,1
2660,Kepler-1585 b,0.16,,,3.5827463,,,1112.299643,0.94,0.08,4.37,1,1
2661,Kepler-1586 b,0.136,,,15.6049212,,,1040.24633,1.45,0.06,1.7,1,1
2662,Kepler-1587 b,0.119,,,9.4060467,,,1082.912808,1.08,0.07,5.01,1,1
2663,Kepler-1588 b,0.068,,,7.84931739,,,1075.649587,0.96,-0.14,5.5,1,1
2664,Kepler-1589 b,0.097,,,0.99166527,,,2228.400331,1.18,0.08,2.75,1,1
2665,Kepler-159 b,0.212,,,10.139623,,,573.6566226,0.609,-0.23,8.105,1,2
2666,Kepler-159 c,0.304,,,43.595792,,,349.6305036,0.598888889,-0.23,8.105,1,2
2667,Kepler-1590 b,0.102,,,7.61760804,,,1075.225446,1.11,0.03,3.39,1,1
2668,Kepler-1591 b,0.113,,,8.18504949,,,1070.868303,1.1,0.01,3.24,1,1
2669,Kepler-1592 b,0.137,,,3.05710069,,,1520.427597,1.18,0.04,2.69,1,1
2670,Kepler-1593 b,0.283,,,174.509835,,89.847,260,0.81,0.02,3.63,1,1
2671,Kepler-1594 b,0.095,,,2.71603809,,,1479.371047,1.06,0.03,3.89,1,1
2672,Kepler-1595 b,0.11,,,4.56380468,,,1040.142501,0.84,-0.02,4.68,1,1
2673,Kepler-1596 b,0.17,,,66.373379,,,578.8626675,0.95,-0.11,3.89,1,1
2674,Kepler-1597 b,0.095,,,2.94654179,,,1673.608955,1.25,0.02,2.4,1,1
2675,Kepler-1598 b,0.085,,,4.34195123,,,1273.127367,1.07,0.04,3.8,1,1
2676,Kepler-1599 b,0.145,,,122.363553,,,449.5325724,0.99,0.02,4.27,1,1
2677,Kepler-16 b,0.754,0.333,Mass,228.776,0.0069,90.032,,0.69,-0.3,,2,1
2678,Kepler-160 b,0.153,,,4.309397,,,1213.508679,0.947777778,-0.19,2.835,1,3
2679,Kepler-160 c,0.335,,,13.699429,,,823.9355462,0.9425,-0.19,2.835,1,3
2680,Kepler-160 d,,,,30,,86.9,,,,,1,3
2681,Kepler-1600 b,0.279,,,386.370548,,,230.5399117,0.86,0.07,4.68,1,2
2682,Kepler-1600 c,,,,7.29804993,,,874.9908983,0.82,0.1,,1,2
2683,Kepler-1601 b,0.073,,,2.20921951,,,1616.032481,1.04,0.05,4.27,1,1
2684,Kepler-1602 b,0.12,,,11.17931605,,,1017.032773,1.22,0.02,2.51,1,1
2685,Kepler-1603 b,0.115,,,2.27163926,,,1925.356466,1.21,0.07,2.82,1,1
2686,Kepler-1604 b,0.126,,,0.68368426,,,1747.63805,0.81,0.02,4.17,1,1
2687,Kepler-1605 b,0.096,,,85.7565495,,,677.4585586,0.86,-0.01,4.68,1,1
2688,Kepler-1606 b,0.185,,,196.435224,,89.814,324,0.9,0.01,4.27,1,1
2689,Kepler-1607 b,0.082,,,13.6473676,,,1039.162762,1.14,0.05,3.16,1,1
2690,Kepler-1608 b,0.154,,,16.4735686,,,648.4107506,0.75,-0.24,5.13,1,1
2691,Kepler-1609 b,0.198,,,114.34219,,,497.2517876,1.18,0.1,3.02,1,1
2692,Kepler-161 b,0.189,0.038,Mass,4.921355,,,929.0683874,0.824,-0.026,2.99,1,2
2693,Kepler-161 c,0.183,0.037,Mass,7.06424,,,823.3513135,0.823333333,-0.026,2.99,1,2
2694,Kepler-1610 b,0.144,,,8.70181574,,,789.3656362,0.91,0.1,4.68,1,1
2695,Kepler-1611 b,0.072,,,5.1762429,,,1069.225673,0.94,0.01,5.01,1,1
2696,Kepler-1612 b,0.092,,,3.91795101,,,1130.773073,0.96,0.03,4.57,1,1
2697,Kepler-1613 b,0.186,,,1.5184299,,,2264.455435,1.08,0.01,3.55,1,1
2698,Kepler-1614 b,0.133,,,3.9466141,,,1102.128856,0.79,-0.17,5.5,1,1
2699,Kepler-1615 b,0.184,,,47.3126192,,,641.8678903,1.04,0.06,3.89,1,1
2700,Kepler-1616 b,0.091,,,6.76284377,,,1369.316189,1.21,0.02,2.75,1,1
2701,Kepler-1617 b,0.107,,,27.4785572,,,772.0074939,1.15,0.01,3.02,1,1
2702,Kepler-1618 b,0.112,,,6.10826019,,,1462.332098,1.41,0.04,1.78,1,1
2703,Kepler-1619 b,0.068,,,23.6225913,,,789.9169531,1,-0.07,4.27,1,1
2704,Kepler-162 b,0.112,,,6.919798,,,1090.259383,0.95625,-0.234,4.31,1,2
2705,Kepler-162 c,0.27,,,19.446355,,,775.653517,0.964444444,-0.234,4.31,1,2
2706,Kepler-1620 b,0.144,,,101.951829,,,465.690028,1.15,0.03,3.02,1,1
2707,Kepler-1621 b,0.193,,,92.263714,,,531.5479349,1.15,0.03,2.69,1,1
2708,Kepler-1622 b,0.131,,,10.8118737,,,1064.293895,1.31,0.04,2.19,1,1
2709,Kepler-1623 b,0.117,,,4.36128348,,,1151.882636,1,0.04,4.27,1,1
2710,Kepler-1624 b,0.509,,,3.29030452,,,613.2450652,0.5,0.06,4.47,1,1
2711,Kepler-1625 b,0.541,,,287.378949,,,349.3575315,0.96,0.01,4.37,1,1
2712,Kepler-1626 b,0.18,,,4.13962966,,,1575.493619,1.51,0.04,1.55,1,1
2713,Kepler-1627 b,0.329,,,7.20283653,,,873.1189407,0.87,-0.1,4.68,1,1
2714,Kepler-1628 b,0.574,,,76.378033,,,259.9748515,0.55,0.17,5.13,1,1
2715,Kepler-1629 b,0.069,,,3.87595807,,,1208.389825,1.01,0.05,4.27,1,1
2716,Kepler-163 b,0.094,,,7.810937,,,949.0501871,0.9625,0.066,2.335,1,2
2717,Kepler-163 c,0.202,,,21.347262,,,678.0133299,0.96,0.075375,2.335,1,2
2718,Kepler-1630 b,0.195,,,509.997402,,,190.9107296,0.66,-0.46,5.01,1,1
2719,Kepler-1631 b,0.12,,,4.09513932,,,1248.261543,0.97,0.04,4.17,1,1
2720,Kepler-1632 b,0.22,,,448.303558,,,291.643987,1.12,0,3.09,1,1
2721,Kepler-1633 b,0.141,,,186.404271,,,501.5135929,1.2,0.02,2.82,1,1
2722,Kepler-1634 b,0.285,,,374.876239,,,282.6869907,0.92,0.02,4.47,1,1
2723,Kepler-1635 b,0.325,,,469.63111,,,219.9818382,0.89,0.06,4.9,1,1
2724,Kepler-1636 b,0.288,,,425.47785,,,284.0846853,1.01,0.03,3.98,1,1
2725,Kepler-1637 b,0.079,,,6.10960324,,,1127.981945,1.02,0.07,4.17,1,1
2726,Kepler-1638 b,0.167,,,259.33683,,89.995,304,0.97,-0.01,4.37,1,1
2727,Kepler-1639 b,0.23,,,9.878482,,,1041.978393,1.12,-0.03,3.16,1,1
2728,Kepler-164 b,0.126,,,5.03503,,,1274.258592,1.09125,-0.104,2.045,1,3
2729,Kepler-164 c,0.244,,,10.945723,,,979.0754981,1.096666667,-0.104,2.045,1,3
2730,Kepler-164 d,0.219,,,28.986769,,,707.6704536,1.096666667,-0.104,2.045,1,3
2731,Kepler-1640 b,0.43,,,7.5844126,,,1332.846146,1.27,0.1,2.4,1,1
2732,Kepler-1641 b,0.277,,,19.672266,,,889.2130359,1.12,-0.02,3.02,1,2
2733,Kepler-1641 c,0.263,,,32.657212,,,750.984399,1.12,-0.02,3.02,1,2
2734,Kepler-1642 b,0.285,,,12.2057513,,,841.534238,0.88,-0.01,4.47,1,2
2735,Kepler-1642 c,0.237,,,6.6513802,,,1030.281823,0.88,-0.01,4.47,1,2
2736,Kepler-1643 b,0.207,,,5.342657,,,903.1773518,0.84,-0.3775,0.046,1,1
2737,Kepler-1644 b,0.168,,,21.0907758,,,657.5755101,0.89,-0.1,4.27,1,1
2738,Kepler-1645 b,0.159,,,16.1779561,,,884.9765997,1.02,0.04,4.17,1,1
2739,Kepler-1646 b,0.11,,,4.48558383,,,473.1478913,0.24,0.04,4.68,1,1
2740,Kepler-1647 b,1.059,1.51968,Mass,1107.5923,0.0581,90.097,,1.22,-0.14,4.4,2,1
2741,Kepler-1649 b,0.091,,,8.689099,,89.15,307,0.2,-0.15,,1,2
2742,Kepler-1649 c,0.095,,,19.53527,,89.339,234,0.2,-0.15,,1,2
2743,Kepler-165 b,0.207,,,8.180848,,,796.2496451,0.805555556,-0.192,7.755,1,2
2744,Kepler-165 c,0.199,,,15.31299,,,646.0934824,0.805555556,-0.192,7.755,1,2
2745,Kepler-1650 b,0.086,,,1.53818001,0.01,,700.4771241,0.33,-0.11,13.9,1,1
2746,Kepler-1651 b,0.164,,,9.87863917,0.13,,,0.52,-0.16,,2,1
2747,Kepler-1652 b,0.143,,,38.09722,,89.993,268,0.4,-0.3,3.2,1,1
2748,Kepler-1653 b,0.194,,,140.2524,,89.788,284,0.72,-0.18,7.7,1,1
2749,Kepler-1654 b,0.819,,,1047.8356,0.26,89.982,206,1.01,-0.088,,1,1
2750,Kepler-1655 b,0.197,0.01573,Mass,11.8728787,,87.62,943.7958207,1.03,-0.24,2.56,1,1
2751,Kepler-1656 b,0.4465,0.15,Mass,31.562,0.838,89.31,651,1.03,0.16,6.31,1,2
2752,Kepler-1656 c,,0.4,Mass,1919,0.527,,,1.03,,6.31,1,2
2753,Kepler-1658 b,1.07,5.88,Mass,3.84937278,0.0628,76.52,2262.761064,1.45,-0.18,2.01,1,1
2754,Kepler-166 b,0.203,,,7.650254,,,841.9319383,0.857777778,-0.234,2.635,1,3
2755,Kepler-166 c,0.212,,,34.260281,,,510.7855812,0.857777778,-0.234,2.635,1,3
2756,Kepler-166 d,0.154,,,1.55400393,,,1427.139823,0.88,-0.03,4.47,1,3
2757,Kepler-1661 b,0.345,0.05349,Mass,175.06,0.057,89.46,,0.84,-0.12,2,2,1
2758,Kepler-1663 b,,,,17.6046,,,411.5417135,0.61,0.06,,1,1
2759,Kepler-1664 b,,,,14.3868,,,865.7405425,1.024,0.37,8.2,1,1
2760,Kepler-1665 b,,,,11.9548,,,743.3398701,0.84,-0.013,13.9,1,1
2761,Kepler-1666 b,,,,25.8476,,,737.1184607,1.23,-0.2,0.41,1,2
2762,Kepler-1666 c,,,,40.7157,,,633.514745,1.23,-0.2,0.41,1,2
2763,Kepler-1667 b,,,,83.5781,,,564.2447399,1.09,-0.26,4.7,1,1
2764,Kepler-1668 b,,,,15.434,,,778.8439447,0.98,0.07,,1,1
2765,Kepler-1669 b,,,,9.51216,,,575.1100656,0.67,-0.2225,13.9,1,2
2766,Kepler-1669 c,,,,1.60932005,,,1025.257699,0.61,-0.2,13.9,1,2
2767,Kepler-167 b,0.153,,,4.3931539,,88.3,918,0.78,0.02,7.1,2,4
2768,Kepler-167 c,0.149,,,7.406106,,88.48,771,0.78,0.02,7.1,2,4
2769,Kepler-167 d,0.11,,,21.80379,,89.26,538,0.78,0.02,7.1,2,4
2770,Kepler-167 e,0.906,1.01,Mass,1071.23205,0.062,89.972,134,0.78,0.02,7.1,2,4
2771,Kepler-1670 b,,,,20.4998,,,846.4623592,1.05,-0.07,0.3,1,1
2772,Kepler-1671 b,,,,4.16787,,,1069.35739,0.87,0.25,13.4,1,1
2773,Kepler-1672 b,,,,150.878,,,431.7997963,1.16,-0.25,4.19,1,1
2774,Kepler-1673 b,,,,33.7888,,,664.4420438,1.11,0.228,0.3,1,1
2775,Kepler-1674 b,,,,62.5611,,,452.1740984,0.96,0.056,0.5,1,1
2776,Kepler-1675 b,,,,63.0382,,,530.7900819,1.06,0.254,1.9,1,1
2777,Kepler-1676 b,,,,29.9221,,,697.7605222,1.078,0.135,0.3,1,1
2778,Kepler-1677 b,,,,22.064,,,798.3779822,1.11,0.108,0.3,1,1
2779,Kepler-1678 b,,,,147.974,,,356.3493817,1.03,-0.24,0.3,1,1
2780,Kepler-1679 b,,,,9.75376,,,868.3642603,0.96,-0.04,0.4,1,1
2781,Kepler-168 b,0.13,,,4.425391,,,1410.000582,1.13,0.014,1.395,1,2
2782,Kepler-168 c,0.24,,,13.193242,,,983.4163128,1.128888889,0.014,1.395,1,2
2783,Kepler-1680 b,,,,8.77424,,,859.1378118,0.83,0.2,13.8,1,1
2784,Kepler-1681 b,,,,69.8956,,,447.4345232,0.79,0.106,3.3,1,1
2785,Kepler-1682 b,,,,14.8334,,,757.4447638,0.99,-0.048,5.7,1,1
2786,Kepler-1683 b,,,,15.0337,,,751.1083268,0.95,0.115,13.6,1,1
2787,Kepler-1684 b,,,,47.7055,,,373.5920415,0.75,0.127,,1,1
2788,Kepler-1685 b,,,,20.4905,,,664.3951029,0.96,0.21,,1,1
2789,Kepler-1686 b,,,,9.30987,,,1002.896858,1.02,0.077,0.4,1,1
2790,Kepler-1687 b,,,,5.77954,,,658.3507361,0.65,-0.185,13.8,1,1
2791,Kepler-1688 b,,,,5.62012,,,1117.741173,0.87,-0.046,14,1,1
2792,Kepler-1689 b,,,,8.483,,,972.5782809,1.02,-0.146,2.5,1,1
2793,Kepler-169 b,0.101,,,3.250619,,,1164.02942,0.8425,0.174,8.76,1,5
2794,Kepler-169 c,0.108,,,6.195469,,,930.2378167,0.838888889,0.174,8.76,1,5
2795,Kepler-169 d,0.112,,,8.348125,,,842.2139019,0.838888889,0.174,8.76,1,5
2796,Kepler-169 e,0.196,,,13.767102,,,712.8604879,0.838888889,0.174,8.76,1,5
2797,Kepler-169 f,0.23,,,87.090195,,,385.444896,0.838888889,0.174,8.76,1,5
2798,Kepler-1690 b,,,,234.636,,,292.8948752,0.94,-0.225,8.5,1,1
2799,Kepler-1691 b,,,,3.8482,,,1426.19642,1.11,0.0925,0.61,1,1
2800,Kepler-1692 b,,,,5.95966,,,972.0201878,0.87,0.36,6.1,1,1
2801,Kepler-1693 b,,,,12.0999,,,802.6501402,0.95,0.026,0.8,1,2
2802,Kepler-1693 c,,,,5.36370993,,,1076.16012,0.94,0.16,0.8,1,2
2803,Kepler-1694 b,,,,3.89526,,,946.8592598,0.82,-0.4,0.7,1,1
2804,Kepler-1695 b,,,,4.7329,,,1060.603341,0.96,-0.035,0.5,1,1
2805,Kepler-1696 b,,,,65.9409,,,514.27572,1.02,-0.04,,1,1
2806,Kepler-1697 b,,,,33.4969,,,615.7679541,0.75,0.034,,1,1
2807,Kepler-1698 b,,,,1.2107,,,1444.516478,0.82,0.08,,1,1
2808,Kepler-1699 b,,,,3.49082,,,1109.208355,0.795,0.225,,1,1
2809,Kepler-17 b,1.31,2.45,Mass,1.4857108,,87.2,1570,1.04,0.26,2.0125,1,1
2810,Kepler-170 b,0.285,0.26,Mass,7.930592,,,968.5305337,1.041,0.422,2.715,1,2
2811,Kepler-170 c,0.255,,,16.665863,,,756.1464487,1.041,0.422,2.715,1,2
2812,Kepler-1700 b,,,,234.239,,,359.3514016,1.12,0.1975,,1,1
2813,Kepler-1701 b,,,,169.134,,,301.1319569,0.87,0.03,,1,1
2814,Kepler-1702 b,,,,18.5012,,,596.1084532,0.85,-0.21,,1,1
2815,Kepler-1704 b,1.066,4.16,Mass,988.88112,0.92,89,254,1.13,0.196,7.4,1,1
2816,Kepler-1705 b,0.181,0.01406,Mass,9.03502,0.033,88.79,991.5258111,1.14,-0.2,2.59,1,2
2817,Kepler-1705 c,0.183,0.01705,Mass,11.28,0.028,88.89,1065.398551,1.14,-0.2,2.59,1,2
2818,Kepler-1708 b,0.889,,,737.1131,,,245.0808546,1.09,0,3.16,1,1
2819,Kepler-1709 b,,,,65.70459747,,,513.8958066,1,-0.04,2.2,1,1
2820,Kepler-171 b,0.209,,,4.166972,,,1162.728122,0.95,0.005,2.085,1,3
2821,Kepler-171 c,0.228,,,11.463462,,,829.8121165,0.95,0.005,2.085,1,3
2822,Kepler-171 d,0.169,,,39.595519,,,548.9545097,0.95,0.005,2.085,1,3
2823,Kepler-1710 b,,,,14.91110039,,,752.6442461,0.93,-0.04,9.1,1,1
2824,Kepler-1711 b,,,,21.06080055,,,746.7490815,0.94,0,6.6,1,1
2825,Kepler-1712 b,,,,13.81499958,,,437.6068704,0.52,0.02,13.8,1,1
2826,Kepler-1713 b,,,,18.01160049,,,966.1825323,1.3,0.1,1.45,1,1
2827,Kepler-1714 b,,,,10.27530003,,,1324.270517,1.45,0.22,3.05,1,1
2828,Kepler-1715 b,,,,35.59730148,,,710.8497348,1.08,-0.04,0.82,1,1
2829,Kepler-1716 b,,,,35.58100128,,,437.0739839,0.75,-0.24,7.9,1,1
2830,Kepler-1717 b,,,,30.65279961,,,861.5757722,1.16,-0.06,0.33,1,1
2831,Kepler-1718 b,,,,135.1880035,,,385.6189204,0.85,-0.32,10.4,1,1
2832,Kepler-1719 b,,,,6.14955997,,,1407.467195,1.08,0.04,7.7,1,1
2833,Kepler-172 b,0.21,,,2.940309,,,1376.858759,0.928888889,0.11,9.58,1,4
2834,Kepler-172 c,0.255,,,6.388996,,,1063.023448,0.928888889,0.11,9.58,1,4
2835,Kepler-172 d,0.201,,,14.627119,,,806.5552417,0.928888889,0.11,9.58,1,4
2836,Kepler-172 e,0.246,,,35.118736,,,602.4206452,0.92625,0.11,9.58,1,4
2837,Kepler-1720 b,,,,12.70639992,,,748.0947148,0.94,-0.04,0.5,1,1
2838,Kepler-1721 b,,,,4.59238005,,,996.1963491,0.89,-0.04,0.7,1,1
