planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass
CT Cha b;1;;440.000000;24.660;;;;;2600;;;
CoRoT-1 b;1;1.50895570;;16.700;85.100;0.000000;;188.000;1898;5950.00;1.11;0.95
CoRoT-1 b;1;1.50896820;0.027520;19.223;85.100;0.036000;;190.000;;6298.00;1.23;1.22
CoRoT-1 b;1;1.50896877;;;;;;;;;;
CoRoT-1 b;1;1.50895570;0.026100;16.589;86.700;0.000000;;198.000;;5950.00;1.14;1.03
CoRoT-1 b;1;1.50896860;0.025360;17.385;84.420;;;188.000;1915;5950.00;1.13;0.95
CoRoT-1 b;1;1.50897655;0.025900;15.917;85.660;0.071000;;;1834;5950.00;;
CoRoT-1 b;1;1.50896350;;20.594;;;2852.63;;2036;5950.00;1.29;
CoRoT-10 b;1;13.24060000;0.105500;10.873;88.550;0.524000;;297.500;;5075.00;0.79;0.89
CoRoT-10 b;1;13.24060000;0.106000;10.548;88.570;;;301.000;647;5075.00;0.74;0.90
CoRoT-10 b;1;13.24060000;0.105500;10.870;88.550;0.530000;;301.000;600;5075.00;0.79;0.89
CoRoT-10 b;1;13.23412611;;7.385;;;16.11;;511;5025.00;0.55;
CoRoT-11 b;1;2.99432500;0.043510;15.581;83.410;0.000000;;304.000;1715;;1.33;1.23
CoRoT-11 b;1;2.99433000;0.043600;16.030;83.170;0.000000;;280.000;1657;6440.00;1.37;1.27
CoRoT-11 b;1;2.99433000;0.044000;15.984;83.130;;;280.000;1735;6440.00;1.37;1.26
CoRoT-11 b;1;2.99432500;0.044070;16.029;83.170;0.360000;;334.000;;6440.00;1.37;1.27
CoRoT-11 b;1;2.99328197;;21.746;;;1890.65;;1682;6343.00;1.59;
CoRoT-11 b;1;;;;;;;;;6343.00;1.36;1.56
CoRoT-11 b;1;2.99427803;;;83.170;;;;;6440.00;1.37;1.27
CoRoT-12 b;1;2.82805268;0.039200;15.065;85.710;;;;1417;;1.05;1.00
CoRoT-12 b;1;2.82804200;0.040130;16.141;85.480;0.050000;;125.100;;5675.00;1.12;1.08
CoRoT-12 b;1;2.82804200;0.040160;16.140;85.480;0.070000;;125.500;1442;5675.00;1.12;1.08
CoRoT-12 b;1;2.82804200;0.039400;15.132;85.790;;;125.500;1410;5675.00;1.05;1.02
CoRoT-12 b;1;2.82803915;;17.760;;;661.13;;1293;5675.00;1.04;
CoRoT-12 b;1;2.82804100;;;;;;;;5675.00;1.12;1.08
CoRoT-13 b;1;4.03519000;0.051000;14.034;85.270;;;157.800;1432;5945.00;1.27;1.09
CoRoT-13 b;1;4.03504444;;12.533;;;546.53;;1233;5945.00;1.14;
CoRoT-13 b;1;4.03519000;0.051070;9.920;88.020;0.067000;;160.700;;5945.00;1.01;1.09
CoRoT-13 b;1;4.03515000;;;;;;;;5945.00;1.01;1.09
CoRoT-13 b;1;4.03519000;0.051000;9.920;88.020;0.000000;;157.800;1700;5945.00;1.01;1.09
CoRoT-14 b;1;1.51214000;0.027000;12.220;79.600;0.000000;;1230.000;1952;6035.00;1.21;1.13
CoRoT-14 b;1;1.51214000;0.026870;11.411;79.700;;;1230.000;1936;6035.00;1.19;1.12
CoRoT-14 b;1;1.51214000;0.026910;12.218;79.600;0.036000;;1193.000;;6040.00;1.21;1.13
CoRoT-16 b;1;5.35227000;0.061800;13.110;85.010;0.330000;;61.960;;5650.00;1.19;1.10
CoRoT-16 b;1;5.35227000;0.061800;13.115;85.010;0.370000;;62.600;;5650.00;1.19;1.10
CoRoT-17 b;1;3.76810000;0.048100;11.433;88.300;0.081000;;308.000;;5740.00;1.59;1.04
CoRoT-17 b;1;3.76810000;0.048100;11.287;89.300;;;312.400;1610;5740.00;1.62;1.04
CoRoT-17 b;1;3.76810000;0.046100;11.430;88.340;0.000000;;312.400;1626;5740.00;1.59;1.04
CoRoT-18 b;1;1.90009000;0.028800;12.846;89.900;;;;1487;;0.88;0.88
CoRoT-18 b;1;1.90008625;;15.050;;;823.70;;1366;5440.00;0.93;
CoRoT-18 b;1;1.90006930;0.029500;14.684;86.500;0.025000;;588.000;;5440.00;1.00;0.95
CoRoT-18 b;1;1.90007690;;;;;;;;5440.00;1.00;0.95
CoRoT-18 b;1;1.90006930;0.029500;14.680;86.500;0.080000;;590.000;1550;5440.00;1.00;0.95
CoRoT-18 b;1;1.90006930;0.028600;14.022;86.800;;;590.000;1490;5440.00;0.92;0.86
