planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
TOI-712 c,1,51.69906,0.2447,2.701,89.78,0.089,3.08,370.0,4622.0,0.67,0.73
TOI-712 d,1,84.8396,0.3405,2.474,89.817,0.073,1.6,314.0,4622.0,0.67,0.73
TOI-733 b,1,4.884765,0.0618,1.992,88.85,0.046,207.1,1056.0,5585.0,0.95,0.96
TOI-776 b,1,8.24661,0.0652,1.85,89.65,0.06,11.5,514.0,3709.0,0.54,0.54
TOI-776 c,1,15.6653,0.1,2.02,89.51,0.04,4.9,415.0,3709.0,0.54,0.54
TOI-782 b,1,8.0240015,0.0578,2.734,88.98,0.19,5.91,435.0,3370.0,0.41,0.4
TOI-815 b,2,11.197259,0.0903,2.94,89.36,0.2,36.9,686.0,4869.0,0.77,0.78
TOI-815 c,2,34.976145,0.193,2.62,89.107,0.22,8.03,469.0,4869.0,0.77,0.78
TOI-836 b,1,3.81673,0.0422,1.704,87.57,0.053,78.84,871.0,4552.0,0.67,0.68
TOI-836 c,1,8.59545,0.075,2.587,88.7,0.078,26.71,665.0,4552.0,0.67,0.68
TOI-858 B b,2,3.2797178,0.04435,14.067,86.8,0.15,908.9,1529.0,5842.0,1.31,1.08
TOI-908 b,1,3.183792,0.041657,3.186,86.475,0.132,80.88,1317.0,5626.0,1.03,0.95
TOI-954 b,1,3.6849729,0.04963,9.55,84.4,0.14,1393.0,1526.0,5710.0,1.89,1.2
TRAPPIST-1 b,1,1.510848,0.01111,1.113,89.41,0.0,4.25,400.0,2550.0,0.12,0.08
TRAPPIST-1 d,1,4.04961,0.02144,772.0,89.75,0.07,1.14,288.0,2559.0,0.12,0.08
WASP-156 b,1,3.836169,0.0453,5.717,89.1,0.007,150.0,970.0,4910.0,0.76,0.84
WASP-193 b,1,6.2463345,0.0676,16.41,88.49,0.056,413.0,1254.0,6078.0,1.24,1.06
WD 1856+534 b,3,1.4079405,0.0204,10.4,88.778,0.0,0.18,163.0,4710.0,0.01,0.52
Wolf 327 b,1,0.5734745,0.01,1.24,84.89,0.0,233.9,996.0,3542.0,0.41,0.41
