planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
Kepler-730 b,1,6.49168426,0.0714,10.3,87.09,0.0,313.64,1073.0,6116.0,1.13,1.16
Kepler-730 c,1,2.85188338,0.0413,1.23,85.13,0.0,903.77,1398.0,6123.0,1.11,1.16
Kepler-731 b,1,3.85560355,0.0505,13.75,89.95,0.0,507.94,1211.0,6028.0,1.05,1.15
Kepler-732 c,1,0.89304124,0.014,1.22,89.38,0.0,145.37,886.0,3581.0,0.44,0.46
Kepler-734 b,1,6.10484942,0.0583,3.18,89.78,0.0,89.25,784.0,5085.0,0.71,0.71
Kepler-735 b,1,11.51516988,0.0966,2.98,89.95,0.0,44.28,658.0,5173.0,0.8,0.91
Kepler-737 b,1,28.59914031,0.1422,1.83,89.99,0.0,1.87,298.0,3755.0,0.46,0.47
Kepler-738 b,1,24.58721573,0.1548,2.31,89.95,0.0,18.74,531.0,5465.0,0.75,0.82
Kepler-74 b,1,7.34071475,0.0801,14.41,88.24,0.0,421.03,1155.0,6056.0,1.5,1.27
Kepler-740 b,1,3.58410122,0.0462,4.87,89.38,0.0,386.66,1131.0,5739.0,0.92,1.02
Kepler-741 b,1,7.03902374,0.074,2.48,89.95,0.0,277.52,1041.0,6319.0,1.03,1.08
Kepler-742 b,1,8.36086824,0.0744,3.73,88.81,0.0,53.68,690.0,4743.0,0.81,0.79
Kepler-745 b,1,9.93143556,0.0908,1.92,89.95,0.0,109.11,824.0,5880.0,0.92,1.01
Kepler-747 b,1,35.61760587,0.1916,5.26,89.95,0.0,10.19,456.0,5123.0,0.78,0.74
Kepler-748 b,1,7.40742793,0.0745,2.23,89.95,0.0,183.15,938.0,5922.0,0.96,1.0
Kepler-749 b,1,17.31716585,0.1054,2.1,89.38,0.0,10.07,454.0,4719.0,0.5,0.52
Kepler-750 b,1,9.42887179,0.0926,2.95,89.95,0.0,253.39,1018.0,6495.0,1.17,1.19
Kepler-750 c,1,4.08899022,0.0531,1.58,88.24,0.0,770.59,1344.0,6495.0,1.17,1.19
Kepler-751 b,1,17.44490636,0.1263,2.81,89.38,0.0,50.32,679.0,5568.0,0.97,0.88
Kepler-752 b,1,18.82747265,0.1353,2.92,89.95,0.0,37.82,632.0,5687.0,0.86,0.93
Kepler-753 b,1,5.74771191,0.054,1.86,88.33,0.0,40.07,641.0,4252.0,0.63,0.64
Kepler-755 c,2,2.85313364,0.0355,1.29,88.81,0.0,284.47,1047.0,5095.0,0.77,0.73
Kepler-758 c,1,4.75793986,0.0597,1.65,83.65,0.0,919.17,1404.0,6692.0,1.35,1.26
Kepler-758 d,1,20.4966197,0.1582,2.01,89.95,0.0,130.9,863.0,6692.0,1.35,1.26
Kepler-758 e,1,8.1934719,0.0858,1.47,87.66,0.0,445.01,1171.0,6692.0,1.35,1.26
Kepler-759 b,1,41.805985,0.2329,2.17,89.95,0.0,19.02,533.0,5907.0,0.97,0.96
Kepler-761 b,1,10.12805158,0.0874,1.95,87.16,0.0,81.77,767.0,5676.0,0.82,0.86
Kepler-763 b,1,1.19655156,0.0212,1.22,88.24,0.0,957.12,1419.0,5258.0,0.79,0.88
Kepler-763 c,1,4.09666758,0.048,1.39,89.95,0.0,186.7,943.0,5258.0,0.79,0.88
