planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
Kepler-202 b;1;4.069427;0.045;1.63;;;;;;4668.0;0.67;;
Kepler-202 b;1;4.0694284;0.0455;1.91;85.37;0.0;119.56;;843.0;4806.0;0.72;0.76;0.045522723212028327
Kepler-202 b;1;4.06942539;;;;;;;;4603.51;0.75;0.73;0.04491565898472929
Kepler-202 b;1;4.0694284;;1.9;;;;;;4791.0;0.73;0.78;0.045918592849191656
Kepler-202 b;1;4.0694284;0.0455;1.91;85.37;0.0;119.56;;843.0;4806.0;0.72;0.76;0.045522723212028327
Kepler-202 b;1;;;1.552;;;108.5;;;4762.0;0.69;;
Kepler-202 c;1;16.28248353;0.1147;2.04;89.38;0.0;18.81;;531.0;4806.0;0.72;0.76;0.1147324826841503
Kepler-202 c;1;16.28247625;;;;;;;;4603.51;0.75;0.73;0.11320249994254633
Kepler-202 c;1;16.282493;0.113;1.85;;;;;;4668.0;0.67;;
Kepler-202 c;1;16.28248353;;2.06;;;;;;4791.0;0.73;0.78;0.11573020652592218
Kepler-202 c;1;16.28249175;;;;;;;;4603.51;0.75;0.73;0.11320257178413619
Kepler-202 c;1;16.28248353;0.1147;2.04;89.38;0.0;18.81;;531.0;4806.0;0.72;0.76;0.1147324826841503
Kepler-202 c;1;16.28248353;0.11161;1.934;;;17.3;;;4762.0;0.68;0.7;0.1116300726154781
Kepler-202 c;1;16.28247;0.111;2.05;88.81;0.0;;;512.0;4763.0;0.66;0.68;0.11055657880111686
Kepler-202 c;1;16.282491;;;;;;;;4603.51;0.75;0.73;0.11320256830793075
Kepler-202 c;1;;;1.906;;;17.07;;;4762.0;0.69;;
Kepler-202 c;1;16.28247625;0.1132;1.88;89.46;0.0;15.37;;505.0;4671.0;0.68;0.75;0.11422701264357198
Kepler-202 c;1;16.28248353;0.1147;2.04;89.38;0.0;18.81;;531.0;4806.0;0.72;0.76;0.1147324826841503
Kepler-203 b;1;3.16269124;;2.48;;;;;;5794.0;1.03;1.0;0.04216699243244275
Kepler-203 b;1;3.16269124;0.0424;2.29;85.94;0.0;547.43;;1234.0;5949.0;0.94;1.01;0.04230708313742045
Kepler-203 b;1;3.162697;0.043;2.57;;;;;;5821.0;1.11;;
Kepler-203 b;1;3.16269124;0.04302;2.517;;;615.9;;;5887.0;1.03;1.06;0.04299400616709919
Kepler-203 b;1;3.16269207;0.0418;2.61;85.47;0.0;692.32;;1308.0;5821.0;1.08;0.97;0.04174104139619015
Kepler-203 b;1;3.16269207;;;;;;;;5871.24;1.08;1.06;0.04299401368917893
Kepler-203 b;1;;;2.508;;;668.22;;;5887.0;1.04;;
Kepler-203 b;1;3.16268993;;;;;;;;5871.24;1.08;1.06;0.04299399429489971
Kepler-203 b;1;3.16269458;;;;;;;;5871.24;1.08;1.06;0.04299403643666909
Kepler-203 b;1;3.1626947;0.042;2.1;87.09;0.0;;;1217.0;5924.0;0.91;1.01;0.04230711399352155
Kepler-203 b;1;3.16269124;0.0424;2.29;85.94;0.0;547.43;;1234.0;5949.0;0.94;1.01;0.04230708313742045
Kepler-203 b;1;3.16269124;0.0424;2.29;85.94;0.0;547.43;;1234.0;5949.0;0.94;1.01;0.04230708313742045
Kepler-203 c;1;;;2.441;;;329.79;;;5887.0;1.04;;
Kepler-203 c;1;5.37063855;;;;;;;;5871.24;1.08;1.06;0.061195666221974726
Kepler-203 c;1;5.37063954;0.0595;2.54;87.46;0.0;341.68;;1096.0;5821.0;1.08;0.97;0.059412251422096676
Kepler-203 c;1;5.37064587;0.06123;2.346;;;304.3;;;5887.0;1.03;1.06;0.06119572182705418
Kepler-203 c;1;5.37064587;0.0603;2.14;89.95;0.0;270.66;;1034.0;5949.0;0.94;1.01;0.060217986687010734
Kepler-203 c;1;5.37064587;;2.37;;;;;;5794.0;1.03;1.0;0.0600185879201442
Kepler-203 c;1;5.370639;0.06;2.1;87.66;0.0;;;1018.0;5924.0;0.91;1.01;0.06021793533407396
Kepler-203 c;1;5.37064587;0.0603;2.14;89.95;0.0;270.66;;1034.0;5949.0;0.94;1.01;0.060217986687010734
Kepler-203 c;1;5.370647;0.061;2.47;;;;;;5821.0;1.11;;
Kepler-203 c;1;5.37063954;;;;;;;;5871.24;1.08;1.06;0.0611956737423353
Kepler-203 c;1;5.3706416;;;;;;;;5871.24;1.08;1.06;0.06119568939076089
Kepler-203 c;1;5.37064587;0.0603;2.14;89.95;0.0;270.66;;1034.0;5949.0;0.94;1.01;0.060217986687010734
Kepler-203 c;1;5.371;;2.09;;;;;;;0.94;1.01;0.060220633762960725
Kepler-203 d;1;11.32977062;0.0979;1.37;89.91;0.0;126.21;;855.0;5821.0;1.08;0.97;0.09772509137594934
Kepler-203 d;1;11.32975018;0.0992;1.27;88.24;0.0;100.01;;806.0;5949.0;0.94;1.01;0.09905021958874402
Kepler-203 d;1;11.3295929;;;;;;;;5871.24;1.08;1.06;0.10065752645292635
Kepler-203 d;1;11.32975018;0.0992;1.27;88.24;0.0;100.01;;806.0;5949.0;0.94;1.01;0.09905021958874402
Kepler-203 d;1;11.32984;0.099;1.18;89.95;0.0;;;793.0;5924.0;0.91;1.01;0.09905074308831091
Kepler-203 d;1;11.32975018;0.0992;1.27;88.24;0.0;100.01;;806.0;5949.0;0.94;1.01;0.09905021958874402
Kepler-203 d;1;;;1.317;;;121.82;;;5887.0;1.04;;
Kepler-203 d;1;11.32977062;;;;;;;;5871.24;1.08;1.06;0.1006585790832071
Kepler-203 d;1;11.32975018;0.10072;1.396;;;112.3;;;5887.0;1.03;1.06;0.10065845801797439
Kepler-203 d;1;11.32967235;;;;;;;;5871.24;1.08;1.06;0.10065799703359653
Kepler-203 d;1;11.33;;1.22;;;;;;;0.94;1.01;0.09905167561584252
Kepler-203 d;1;11.32975018;;1.34;;;;;;5794.0;1.03;1.0;0.09872223632775408
Kepler-203 d;1;11.32972;0.1;1.44;;;;;;5821.0;1.11;;
Kepler-204 b;1;14.400974;0.117;2.53;;;;;;5812.0;1.24;;
Kepler-204 b;1;14.40094471;0.11734;2.095;;;74.0;;;5877.0;0.97;1.04;0.11736534074123291
Kepler-204 b;1;14.40094471;0.1156;2.23;87.66;0.0;99.58;;806.0;6095.0;1.04;0.99;0.11545351219653897
Kepler-204 b;1;;;2.241;;;79.7;;;5877.0;0.99;;
Kepler-204 b;1;14.40090414;0.1149;2.71;86.44;0.0;111.24;;828.0;5815.0;1.2;0.98;0.1150632474715111
Kepler-204 b;1;14.401041;0.118;2.2;88.24;0.0;;;810.0;6098.0;1.07;1.05;0.11774083726459521
Kepler-204 b;1;14.40094471;0.1156;2.23;87.66;0.0;99.58;;806.0;6095.0;1.04;0.99;0.11545351219653897
Kepler-204 b;1;14.40094471;;2.43;;;;;;5865.0;1.11;1.03;0.11698795761899543
Kepler-204 b;1;14.40090414;;;;;;;;5799.0;1.03;1.04;0.1173651203152259
Kepler-204 b;1;14.40094471;0.1156;2.23;87.66;0.0;99.58;;806.0;6095.0;1.04;0.99;0.11545351219653897
Kepler-204 b;1;14.40094968;;;;;;;;5799.0;1.03;1.04;0.11736536774435535
Kepler-204 b;1;14.40092576;;;;;;;;5799.0;1.03;1.04;0.11736523778161281
Kepler-204 c;1;25.661658;;1.45;;;;;;5865.0;1.11;1.03;0.17195058020930415
Kepler-204 c;1;25.66136126;;;;;;;;5799.0;1.03;1.04;0.17250393349009507
Kepler-204 c;1;25.6613816;;;;;;;;5799.0;1.03;1.04;0.1725040246447694
Kepler-204 c;1;25.66180924;;;;;;;;5799.0;1.03;1.04;0.17250594112812845
Kepler-204 c;1;25.661658;0.17247;1.28;;;34.2;;;5877.0;0.97;1.04;0.17250526334208666
Kepler-204 c;1;25.660593;0.173;1.79;;;;;;5812.0;1.24;;
Kepler-204 c;1;;;1.474;;;36.89;;;5877.0;0.99;;
Kepler-204 c;1;25.6613816;0.1689;1.78;87.88;0.0;51.48;;683.0;5815.0;1.2;0.98;0.16912071682133092
Kepler-204 c;1;25.661658;0.1699;1.36;89.38;0.0;46.1;;665.0;6095.0;1.04;0.99;0.16969523029072367
Kepler-204 c;1;25.661658;0.1699;1.36;89.38;0.0;46.1;;665.0;6095.0;1.04;0.99;0.16969523029072367
Kepler-204 c;1;25.661658;0.1699;1.36;89.38;0.0;46.1;;665.0;6095.0;1.04;0.99;0.16969523029072367
Kepler-204 c;1;25.6595;0.173;1.47;88.81;0.0;;;669.0;6098.0;1.07;1.05;0.17304669993547747
Kepler-205 b;1;;;1.577;;;102.56;;;4121.0;0.64;;
Kepler-205 b;1;2.75563722;;;;;;;;4281.6;0.6;0.67;0.03365950496786177
Kepler-205 b;1;2.7556371;0.0307;1.17;85.94;0.0;47.27;;669.0;3834.0;0.48;0.51;0.030733085890099893
Kepler-205 b;1;2.7556371;;1.39;;;;;;4255.0;0.58;0.6;0.03244391048242047
Kepler-205 b;1;2.7556371;0.0307;1.17;85.94;0.0;47.27;;669.0;3834.0;0.48;0.51;0.030733085890099893
Kepler-205 b;1;2.75560188;0.03068;1.32;;;;;672.0;3834.0;0.48;0.51;0.03073282402165798
Kepler-205 b;1;2.75563813;;;;;;;;4281.6;0.6;0.67;0.03365951237816179
Kepler-205 b;1;2.75563888;;;;;;;;4281.6;0.6;0.67;0.0336595184855513
Kepler-205 b;1;;;1.649;;;89.33;;;4121.0;0.62;0.66;
Kepler-205 b;1;2.7556281;0.032;1.49;83.08;0.0;;;795.0;4303.0;0.56;0.59;0.03226258555663975
Kepler-205 b;1;2.7556371;0.0307;1.17;85.94;0.0;47.27;;669.0;3834.0;0.48;0.51;0.030733085890099893
Kepler-205 b;1;2.75564;0.032;1.51;;;;;;4321.0;0.55;;
Kepler-205 b;1;2.75563722;0.0319;1.37;85.06;0.0;77.57;;757.0;4121.0;0.55;0.57;0.03189390836780162
Kepler-205 c;1;20.30655662;0.1164;1.29;89.38;0.0;3.29;;343.0;3834.0;0.48;0.51;0.11638106984512692
Kepler-205 c;1;20.30651261;;;;;;;;4281.6;0.6;0.67;0.12746274288663836
Kepler-205 c;1;20.30707932;0.11617;1.22;;;;;345.0;3834.0;0.48;0.51;0.11638306697099367
Kepler-205 c;1;20.306546;0.122;1.64;;;;;;4321.0;0.55;;
Kepler-205 c;1;20.306591;0.122;1.85;88.24;0.0;;;407.0;4303.0;0.56;0.59;0.12217343386637361
Kepler-205 c;1;20.30652862;;;;;;;;4281.6;0.6;0.67;0.12746280988249284
Kepler-205 c;1;20.30652862;0.1209;1.58;89.0;0.0;5.4;;389.0;4121.0;0.55;0.57;0.12077679640791801
Kepler-205 c;1;20.30655662;0.1164;1.29;89.38;0.0;3.29;;343.0;3834.0;0.48;0.51;0.11638106984512692
Kepler-205 c;1;;;1.816;;;7.14;;;4121.0;0.64;;
Kepler-205 c;1;20.30652965;;;;;;;;4281.6;0.6;0.67;0.1274628141926565
Kepler-205 c;1;20.30655662;;1.58;;;;;;4255.0;0.58;0.6;0.12285967720280071
Kepler-205 c;1;20.30655662;0.1164;1.29;89.38;0.0;3.29;;343.0;3834.0;0.48;0.51;0.11638106984512692
Kepler-205 c;1;;;2.043;;;6.23;;;4121.0;0.62;0.66;
Kepler-206 b;1;;;1.263;;;192.27;;;5691.0;1.09;;
Kepler-206 b;1;7.78200916;0.0765;1.11;88.81;0.0;189.4;;946.0;5762.0;1.06;0.98;0.07633750226432581
Kepler-206 b;1;7.78199862;;;;;;;;5588.41;1.17;0.99;0.07659620627581473
Kepler-206 b;1;7.78200916;0.07575;1.123;;;190.2;;;5691.0;1.08;0.96;0.07581462624996463
Kepler-206 b;1;7.78199862;0.0764;1.32;84.82;0.0;220.8;;983.0;5762.0;1.14;0.98;0.07633743333632888
Kepler-206 b;1;7.7822;0.077;1.29;87.09;0.0;;;1071.0;5986.0;1.27;1.02;0.07736355378524641
Kepler-206 b;1;7.78200916;0.0765;1.11;88.81;0.0;189.4;;946.0;5762.0;1.06;0.98;0.07633750226432581
Kepler-206 b;1;7.781987;0.078;1.2;;;;;;5764.0;1.19;;
Kepler-206 b;1;7.78200916;0.0765;1.11;88.81;0.0;189.4;;946.0;5762.0;1.06;0.98;0.07633750226432581
Kepler-206 b;1;7.78199072;;;;;;;;5588.41;1.17;0.99;0.07659615443736364
Kepler-206 b;1;7.78200916;;1.22;;;;;;5853.0;1.12;1.05;0.0781134261686148
Kepler-206 c;1;13.13745719;;1.71;;;;;;5853.0;1.12;1.05;0.1107487256899582
Kepler-206 c;1;;;1.766;;;95.51;;;5691.0;1.09;;
Kepler-206 c;1;13.13747785;0.1084;1.85;86.45;0.0;109.68;;825.0;5762.0;1.14;0.98;0.1082309453865199
Kepler-206 c;1;13.13742;0.11;1.98;87.66;0.0;;;896.0;5986.0;1.27;1.02;0.10968356113720182
Kepler-206 c;1;13.13747785;;;;;;;;5588.41;1.17;0.99;0.10859783275300505
Kepler-206 c;1;13.13745719;0.1084;1.57;89.38;0.0;94.33;;795.0;5762.0;1.06;0.98;0.10823083191715419
Kepler-206 c;1;13.13745719;0.1084;1.57;89.38;0.0;94.33;;795.0;5762.0;1.06;0.98;0.10823083191715419
Kepler-206 c;1;13.13746337;;;;;;;;5588.41;1.17;0.99;0.10859775295600876
Kepler-206 c;1;13.13738196;;;;;;;;5588.41;1.17;0.99;0.10859730431779246
Kepler-206 c;1;13.13745719;0.10742;1.596;;;94.7;;;5691.0;1.08;0.96;0.10748950158350136
Kepler-206 c;1;13.13745719;0.1084;1.57;89.38;0.0;94.33;;795.0;5762.0;1.06;0.98;0.10823083191715419
Kepler-206 c;1;13.137471;0.111;1.77;;;;;;5764.0;1.19;;
Kepler-206 d;1;23.4433748;;;;;;;;5588.41;1.17;0.99;0.15976926882036227
Kepler-206 d;1;23.44281;0.163;1.19;;;;;;5764.0;1.19;;
Kepler-206 d;1;23.44248595;;;;;;;;5588.41;1.17;0.99;0.15976523038553214
Kepler-206 d;1;23.44194;0.161;1.3;88.81;0.0;;;740.0;5986.0;1.27;1.02;0.16136048336073763
Kepler-206 d;1;23.4432353;0.1595;950.0;89.38;0.0;43.57;;655.0;5762.0;1.06;0.98;0.15922887199805658
Kepler-206 d;1;23.4433748;0.1594;1.29;85.83;0.0;50.72;;681.0;5762.0;1.14;0.98;0.15922950366302177
Kepler-206 d;1;23.4432353;0.1595;950.0;89.38;0.0;43.57;;655.0;5762.0;1.06;0.98;0.15922887199805658
Kepler-206 d;1;23.4432353;0.1595;950.0;89.38;0.0;43.57;;655.0;5762.0;1.06;0.98;0.15922887199805658
Kepler-206 d;1;23.4432353;;980.0;;;;;;5853.0;1.12;1.05;0.16293318968787532
Kepler-206 d;1;23.44287284;;;;;;;;5588.41;1.17;0.99;0.1597669882025173
Kepler-206 d;1;;;1.236;;;44.17;;;5691.0;1.09;;
Kepler-206 d;1;23.4432353;0.15804;967.0;;;43.8;;;5691.0;1.08;0.96;0.1581382290572739
Kepler-207 b;1;1.611865;0.029;1.57;;;;;;5920.0;1.59;;
Kepler-207 b;1;;;1.889;;;4097.32;;;5969.0;1.71;;
Kepler-207 b;1;1.61188718;;1.45;;;;;;5989.0;1.49;1.2;0.028590270982574485
Kepler-207 b;1;1.61188718;0.02948;1.641;;;3673.5;;;5969.0;1.67;1.31;0.029438451029564855
Kepler-207 b;1;1.61188718;0.0275;1.09;87.66;0.0;2028.48;;1712.0;6110.0;1.11;1.06;0.02743214776198671
Kepler-207 b;1;1.61188718;0.0275;1.09;87.66;0.0;2028.48;;1712.0;6110.0;1.11;1.06;0.02743214776198671
Kepler-207 b;1;1.61189046;0.0285;1.72;73.17;0.0;3267.98;;1930.0;5918.0;1.55;1.18;0.028430584034108544
Kepler-207 b;1;1.61189046;;;;;;;;5966.0;1.73;1.09;0.027688575397351003
Kepler-207 b;1;1.61188397;;;;;;;;5966.0;1.73;1.09;0.027688501075106668
Kepler-207 b;1;1.61188718;0.0275;1.09;87.66;0.0;2028.48;;1712.0;6110.0;1.11;1.06;0.02743214776198671
Kepler-207 b;1;1.611881;0.027;1.17;76.2;0.0;;;1709.0;6080.0;1.1;1.04;0.027258452248988048
Kepler-207 c;1;3.0715454;0.0423;1.06;87.66;0.0;857.34;;1380.0;6110.0;1.11;1.06;0.042163955204301745
Kepler-207 c;1;3.071571;0.044;1.5;;;;;;5920.0;1.59;;
Kepler-207 c;1;3.0715454;0.0423;1.06;87.66;0.0;857.34;;1380.0;6110.0;1.11;1.06;0.042163955204301745
Kepler-207 c;1;3.0715454;0.04531;1.604;;;1555.3;;;5969.0;1.67;1.31;0.04524769774733486
Kepler-207 c;1;3.0715454;0.0423;1.06;87.66;0.0;857.34;;1380.0;6110.0;1.11;1.06;0.042163955204301745
Kepler-207 c;1;;;1.815;;;1742.71;;;5969.0;1.71;;
Kepler-207 c;1;3.07155284;;;;;;;;5966.0;1.73;1.09;0.0425581024253688
Kepler-207 c;1;3.07155284;0.0437;1.65;74.56;0.0;1389.97;;1556.0;5918.0;1.55;1.18;0.043698590121483964
Kepler-207 c;1;3.0715454;;1.46;;;;;;5989.0;1.49;1.2;0.04394402200831594
Kepler-207 c;1;3.071563;0.042;1.11;81.93;0.0;;;1371.0;6080.0;1.1;1.04;0.04189724762592959
Kepler-207 d;1;5.86806802;0.0651;2.31;89.95;0.0;361.97;;1112.0;6110.0;1.11;1.06;0.06491825091985495
Kepler-207 d;1;5.86806802;;3.09;;;;;;5989.0;1.49;1.2;0.06765895261345004
Kepler-207 d;1;5.86806802;0.06975;3.495;;;655.9;;;5969.0;1.67;1.31;0.06966617295920935
Kepler-207 d;1;5.86806628;0.0674;3.6;83.38;0.0;584.32;;1254.0;5918.0;1.55;1.18;0.06728094845094373
Kepler-207 d;1;5.86806983;;;;;;;;5966.0;1.73;1.09;0.06552501218727141
Kepler-207 d;1;5.86807026;;;;;;;;5966.0;1.73;1.09;0.06552501538829614
Kepler-207 d;1;5.86806802;0.0651;2.31;89.95;0.0;361.97;;1112.0;6110.0;1.11;1.06;0.06491825091985495
Kepler-207 d;1;5.868075;0.068;3.31;;;;;;5920.0;1.59;;
Kepler-207 d;1;;;3.96;;;732.6;;;5969.0;1.71;;
Kepler-207 d;1;5.86806628;;;;;;;;5966.0;1.73;1.09;0.06552498576020387
Kepler-207 d;1;5.86806802;0.0651;2.31;89.95;0.0;361.97;;1112.0;6110.0;1.11;1.06;0.06491825091985495
Kepler-207 d;1;5.86805;0.065;2.5;83.65;0.0;;;1102.0;6080.0;1.1;1.04;0.06450723284416617
Kepler-208 b;1;4.22865217;;;;;;;;6000.9;1.32;1.11;0.05298794344830416
Kepler-208 b;1;4.22864988;0.0532;1.68;89.38;0.0;834.72;;1371.0;6220.0;1.33;1.12;0.05314657174478117
Kepler-208 b;1;4.228677;0.051;1.43;81.93;0.0;;;1126.0;5845.0;0.97;0.96;0.05048490177558554
Kepler-208 b;1;4.22864988;0.05256;1.557;;;664.2;;;6054.0;1.23;1.08;0.05250618925084867
Kepler-208 b;1;4.22864883;;;;;;;;6000.9;1.32;1.11;0.05298791554662339
Kepler-208 b;1;4.22864988;;1.83;;;;;;5951.0;1.4;1.16;0.053771882896009246
Kepler-208 b;1;;;1.532;;;639.58;;;6054.0;1.26;;
Kepler-208 b;1;4.22864988;0.0532;1.68;89.38;0.0;834.72;;1371.0;6220.0;1.33;1.12;0.05314657174478117
Kepler-208 b;1;4.2286322;;;;;;;;6000.9;1.32;1.11;0.05298777662287595
Kepler-208 b;1;4.22865217;0.0546;1.83;89.94;0.0;854.59;;1379.0;5966.0;1.5;1.21;0.05453364516460144
Kepler-208 b;1;4.22864;0.054;1.63;;;;;;6092.0;1.31;;
Kepler-208 b;1;4.22864988;0.0532;1.68;89.38;0.0;834.72;;1371.0;6220.0;1.33;1.12;0.05314657174478117
Kepler-208 c;1;7.46662197;;1.52;;;;;;5951.0;1.4;1.16;0.07855434308984661
Kepler-208 c;1;7.46666941;;;;;;;;6000.9;1.32;1.11;0.07740940047629277
Kepler-208 c;1;7.46662197;0.0778;1.49;87.66;0.0;390.31;;1134.0;6220.0;1.33;1.12;0.0776408376653393
Kepler-208 c;1;7.46659864;;;;;;;;6000.9;1.32;1.11;0.07740891134505057
Kepler-208 c;1;7.46662068;;;;;;;;6000.9;1.32;1.11;0.07740906367604257
Kepler-208 c;1;7.46662068;0.0797;1.65;88.98;0.0;401.08;;1141.0;5966.0;1.5;1.21;0.07966714947432908
Kepler-208 c;1;7.466408;0.074;1.23;84.22;0.0;;;934.0;5845.0;0.97;0.96;0.07375072919366961
Kepler-208 c;1;7.46662197;0.07678;1.387;;;311.3;;;6054.0;1.23;1.08;0.07670531479673544
Kepler-208 c;1;7.466623;0.079;1.39;;;;;;6092.0;1.31;;
Kepler-208 c;1;7.46662197;0.0778;1.49;87.66;0.0;390.31;;1134.0;6220.0;1.33;1.12;0.0776408376653393
Kepler-208 c;1;7.46662197;0.0778;1.49;87.66;0.0;390.31;;1134.0;6220.0;1.33;1.12;0.0776408376653393
Kepler-208 c;1;;;1.384;;;300.17;;;6054.0;1.26;;
Kepler-208 d;1;11.1317901;;;;;;;;6000.9;1.32;1.11;0.10102272854497675
Kepler-208 d;1;11.1317519;0.10019;1.202;;;182.6;;;6054.0;1.23;1.08;0.10010406025446363
Kepler-208 d;1;11.13154;0.096;1.17;85.94;0.0;;;820.0;5845.0;0.97;0.96;0.09624880380104758
Kepler-208 d;1;11.13168761;;;;;;;;6000.9;1.32;1.11;0.10102210846888575
Kepler-208 d;1;11.1317901;0.104;1.47;89.02;0.0;235.55;;999.0;5966.0;1.5;1.21;0.10396964429099638
Kepler-208 d;1;11.1317519;;1.37;;;;;;5951.0;1.4;1.16;0.10251712954641949
Kepler-208 d;1;11.1317519;0.1015;1.29;89.38;0.0;229.32;;992.0;6220.0;1.33;1.12;0.10132496180289369
Kepler-208 d;1;11.131786;0.103;1.2;;;;;;6092.0;1.31;;
Kepler-208 d;1;;;1.237;;;176.28;;;6054.0;1.26;;
Kepler-208 d;1;11.1317519;0.1015;1.29;89.38;0.0;229.32;;992.0;6220.0;1.33;1.12;0.10132496180289369
Kepler-208 d;1;11.1317519;0.1015;1.29;89.38;0.0;229.32;;992.0;6220.0;1.33;1.12;0.10132496180289369
Kepler-208 e;1;16.25951967;;;;;;;;6000.9;1.32;1.11;0.1300511598129012
Kepler-208 e;1;;;1.444;;;106.34;;;6054.0;1.26;;
Kepler-208 e;1;16.25945734;0.1306;1.52;89.95;0.0;138.51;;875.0;6220.0;1.33;1.12;0.1304402035082598
Kepler-208 e;1;16.25945734;0.12901;1.415;;;110.1;;;6054.0;1.23;1.08;0.12886848175670795
Kepler-208 e;1;16.25950974;;;;;;;;6000.9;1.32;1.11;0.13005110686307345
Kepler-208 e;1;16.25934;0.124;1.45;86.52;0.0;;;722.0;5845.0;0.97;0.96;0.12390641215743076
Kepler-208 e;1;16.25945734;0.1306;1.52;89.95;0.0;138.51;;875.0;6220.0;1.33;1.12;0.1304402035082598
Kepler-208 e;1;16.25951967;0.1339;1.72;89.29;0.0;142.1;;880.0;5966.0;1.5;1.21;0.1338448586781038
Kepler-208 e;1;16.25945734;0.1306;1.52;89.95;0.0;138.51;;875.0;6220.0;1.33;1.12;0.1304402035082598
Kepler-208 e;1;16.259458;0.132;1.48;;;;;;6092.0;1.31;;
Kepler-208 e;1;16.2596374;;;;;;;;6000.9;1.32;1.11;0.13005178758481073
Kepler-208 e;1;16.25945734;;1.67;;;;;;5951.0;1.4;1.16;0.13197493493390783
Kepler-209 b;1;16.08786478;0.1194;2.6;89.95;0.0;63.13;;719.0;5514.0;1.04;0.88;0.11951651595670096
Kepler-209 b;1;16.08786246;0.1207;2.56;88.05;0.0;47.17;;668.0;5506.0;0.91;0.9;0.12041515854378622
Kepler-209 b;1;16.08786246;;;;;;;;5463.31;0.96;0.96;0.12303369572702469
Kepler-209 b;1;16.08786478;0.12357;2.242;;;45.4;;;5564.0;0.9;0.97;0.12345943311910586
Kepler-209 b;1;16.08786478;0.1194;2.6;89.95;0.0;63.13;;719.0;5514.0;1.04;0.88;0.11951651595670096
Kepler-209 b;1;16.087845;0.122;2.26;;;;;;5513.0;0.94;;
Kepler-209 b;1;16.08788093;;;;;;;;5463.31;0.96;0.96;0.1230337898945762
Kepler-209 b;1;16.08783387;;;;;;;;5463.31;0.96;0.96;0.12303354996353741
Kepler-209 b;1;;;2.537;;;48.66;;;5564.0;0.91;;
Kepler-209 b;1;16.08786478;0.1194;2.6;89.95;0.0;63.13;;719.0;5514.0;1.04;0.88;0.11951651595670096
Kepler-209 b;1;16.087836;0.122;3.32;85.37;0.0;;;697.0;5524.0;1.0;0.93;0.12173837452276191
Kepler-209 b;1;16.08786478;;2.29;;;;;;5562.0;0.92;0.95;0.12260501520305817
Kepler-209 c;1;41.74949827;0.2255;3.4;89.95;0.0;17.7;;523.0;5514.0;1.04;0.88;0.22569909969776242
Kepler-209 c;1;41.74938613;0.228;2.94;89.77;0.0;13.22;;486.0;5506.0;0.91;0.9;0.2273957419370987
Kepler-209 c;1;41.74934819;;;;;;;;5463.31;0.96;0.96;0.23234052848271824
Kepler-209 c;1;41.74945104;;;;;;;;5463.31;0.96;0.96;0.2323409100649397
Kepler-209 c;1;41.74949827;0.23335;2.93;;;12.7;;;5564.0;0.9;0.97;0.23314504009030235
Kepler-209 c;1;41.74999;0.23;4.03;87.66;0.0;;;507.0;5524.0;1.0;0.93;0.22989701316526662
Kepler-209 c;1;41.74949827;0.2255;3.4;89.95;0.0;17.7;;523.0;5514.0;1.04;0.88;0.22569909969776242
Kepler-209 c;1;41.74938613;;;;;;;;5463.31;0.96;0.96;0.23234066924337193
Kepler-209 c;1;41.74949827;;2.99;;;;;;5562.0;0.92;0.95;0.23153152790854276
Kepler-209 c;1;;;2.915;;;13.64;;;5564.0;0.91;;
Kepler-209 c;1;41.749882;0.231;3.1;;;;;;5513.0;0.94;;
Kepler-209 c;1;41.74949827;0.2255;3.4;89.95;0.0;17.7;;523.0;5514.0;1.04;0.88;0.22569909969776242
Kepler-21 b;2;2.78582169;0.0427;1.59;85.37;0.0;2399.4;;1785.0;6131.0;1.86;1.34;0.04271744201716907
Kepler-21 b;2;2.78582124;0.0408;1.69;72.39;0.0;2388.98;;1784.0;6202.0;1.73;1.16;0.04071204539639093
Kepler-21 b;2;2.785755;0.042507;1.635;82.58;0.0;;;1956.0;6131.0;1.86;1.34;0.0427167602703593
Kepler-21 b;2;2.78581504;;;;;;;;6248.42;1.91;1.21;0.04128871860844832
Kepler-21 b;2;2.7858212;0.0434;1.639;83.2;0.0;2749.0;2.7;2015.0;6305.0;1.9;1.41;0.04344868389717932
Kepler-21 b;2;2.78578;0.042717;1.639;83.2;0.02;;1.99;2025.0;6305.0;1.9;1.41;0.04344825551596832
Kepler-21 b;2;2.78582169;0.0427;1.59;85.37;0.0;2399.4;;1785.0;6131.0;1.86;1.34;0.04271744201716907
Kepler-21 b;2;2.78582169;;1.57;;;;;;6162.0;1.79;1.24;0.04162723207148778
Kepler-21 b;2;;;1.894;;;3021.19;;;6202.0;1.95;;
Kepler-21 b;2;2.78582124;;;;;;;;6248.42;1.91;1.21;0.04128877986878727
Kepler-21 b;2;2.785819;0.043;1.72;88.24;0.0;;;1863.0;6131.0;2.04;1.36;0.04292889031418218
Kepler-21 b;2;2.78582169;0.0427;1.59;85.37;0.0;2399.4;;1785.0;6131.0;1.86;1.34;0.04271744201716907
Kepler-21 b;2;2.78582169;0.04171;1.654;;;2871.7;;;6202.0;1.94;1.25;0.04173883376390636
Kepler-210 b;1;2.4532359;0.0292;2.23;88.81;0.0;69.2;;736.0;3914.0;0.53;0.55;0.029166335442699844
