planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
55 Cnc c;2;44.4175;0.241376;;90.0;0.02;;10.18;;;;0.95;0.24129336017915445
55 Cnc c;2;44.3827;0.2432;;;0.048;;10.01;;5317.89;0.96;0.97;0.24284797484635715
55 Cnc c;2;44.3446;0.24;;;0.086;;;;5250.0;0.96;0.9;0.2367242557867783
55 Cnc c;2;44.3989;0.2373;;;0.03;;9.89;;5172.0;0.94;0.91;0.2377917045035192
55 Cnc c;2;44.3787;0.238;;;0.053;;10.06;;5250.0;0.96;0.9;0.23684559732414098
55 Cnc c;2;44.373;0.23735;;89.73;0.072;;10.48;;5250.0;0.96;0.9;0.23682531659178024
55 Cnc d;2;4820.0;5.54;;;0.139;;35.3;;5317.89;0.96;0.97;5.527855719128778
55 Cnc d;2;4545.0;5.28;;;0.24;;37.8;;;;;
55 Cnc d;2;5360.0;5.9;;;0.16;;49.3;;;;0.95;5.89231320676029
55 Cnc d;2;4867.0;5.446;;89.73;0.0269;;47.3;;5250.0;0.96;0.9;5.4265419271610345
55 Cnc d;2;5574.2;5.957;;;0.13;;38.6;;5172.0;0.94;0.91;5.962159511547685
55 Cnc d;2;4517.4;5.257;;;0.327;;49.786;;;;0.95;5.257367414054445
55 Cnc d;2;5218.0;5.77;;;0.025;;;;5250.0;0.96;0.9;5.684404595384222
55 Cnc d;2;5370.0;5.84;;;0.063;;47.2;;5250.0;0.96;0.9;5.794266362168956
55 Cnc d;2;4825.0;5.503;;90.0;0.019;;48.29;;;;0.95;5.4933951839455455
55 Cnc d;2;4909.0;5.47;;;0.02;;45.2;;5250.0;0.96;0.9;5.457716259292864
55 Cnc e;2;0.73654625;;;83.6;;;;;5234.0;0.94;0.91;0.015467326083689975
55 Cnc e;2;0.73654625;;2.023;;;2657.83;;1831.0;5250.0;0.96;;
55 Cnc e;2;2.808;0.038;;;0.174;;6.665;;;;0.95;0.038291939694802615
55 Cnc e;2;0.7365445;0.01583;;;0.036;;6.76;;5317.89;0.96;0.97;0.015800033249049123
55 Cnc e;2;;;;;;;;;5250.0;0.96;0.9;
55 Cnc e;2;0.7365478;0.015439;;90.36;0.028;;6.12;;5250.0;0.96;0.9;0.015410482020912043
55 Cnc e;2;2.79674;0.0377;;;0.264;;3.73;;5250.0;0.96;0.9;0.03750740298575092
55 Cnc e;2;0.73654604;;;;;;;;;;;
55 Cnc e;2;0.7365437;0.01544;2.08;87.3;0.061;;5.93;1958.0;5234.0;0.94;0.91;0.015467290384004432
55 Cnc e;2;;0.01544;1.92;83.0;;;;;5250.0;0.96;0.9;
55 Cnc e;2;0.737;;1.897;;;;6.0;;5172.0;0.95;0.87;0.015243551826501951
55 Cnc e;2;0.7365417;;;85.4;;;6.3;;;;;
55 Cnc e;2;0.7365515;0.015691;;90.0;0.04;;5.97;;;;0.95;0.01569078636930428
55 Cnc e;2;0.736539;0.01544;1.91;83.3;;;;;5250.0;0.96;0.9;0.015410359274851003
55 Cnc e;2;0.7365474;;1.947;;;;6.02;;;0.98;1.01;0.016014339111692408
55 Cnc e;2;0.7365474;0.01544;1.875;83.59;0.05;;6.02;;5172.0;0.94;0.91;0.01546734218353468
55 Cnc e;2;0.73654;0.01583;2.0;90.0;;;6.1;;;0.94;0.96;0.015745485810284576
55 Cnc e;2;0.736546;0.01583;2.173;;0.0;;6.3;;5250.0;0.96;0.9;0.015410456913802962
55 Cnc f;2;260.91;0.7733;;89.73;0.08;;4.8;;5250.0;0.96;0.9;0.7715121121692008
55 Cnc f;2;262.0;0.788;;90.0;0.305;;4.87;;;;0.95;0.7877289830840931
55 Cnc f;2;259.88;0.7708;;;0.08;;5.14;;5172.0;0.94;0.91;0.7723197336769035
55 Cnc f;2;260.0;0.781;;;0.2;;;;5250.0;0.96;0.9;0.7697171515264827
55 Cnc f;2;260.98;0.792;;;0.142;;4.84;;5317.89;0.96;0.97;0.7911584874410074
55 Cnc f;2;260.7;0.775;;;0.0;;4.75;;5250.0;0.96;0.9;0.7710980759489998
55 Cnc f;2;261.2;0.77;;;0.32;;6.2;;5250.0;0.96;0.9;0.7720836939040022
6 Lyn b;1;934.3;2.11;;;0.073;;32.8;;4938.0;5.2;1.44;2.1120935914004924
6 Lyn b;1;899.0;2.2;;;0.134;;36.2;;4978.0;5.2;1.7;2.175659181502552
